City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,tofol,5.3248,163.0078,26.44,83,98,1.62,FM,1683839334
149,estevan,49.1334,-102.9842,22.19,53,100,6.24,CA,1683839334
150,fort st. john,56.2499,-120.8529,21.31,31,29,1.82,CA,1683839217
151,olonkinbyen,70.9221,-8.7187,-0.42,80,58,4.58,SJ,1683839334
152,ballito,-29.539,31.2144,20.07,82,2,6.51,ZA,1683839334
153,camarinas,43.1311,-9.1817,14.4,78,5,6.79,ES,1683839334
154,puerto ayora,-0.7393,-90.3518,27.98,92,87,4.02,EC,1683839200
155,sao jose do rio pardo,-21.5956,-46.8886,20.27,75,64,2.52,BR,1683839335
156,longyearbyen,78.2186,15.6401,-3.09,74,75,7.72,SJ,1683839335
157,sciacca,37.5082,13.0881,14.8,76,100,2.62,IT,1683839335
158,bethanie,-26.4833,17.15,18.6,33,100,2.53,NA,1683839335
159,soio,-6.1349,12.3689,26.92,88,23,2.91,AO,1683839335
160,al kharijah,25.4514,30.5464,28.46,20,0,6.86,EG,1683839335
161,charters towers,-20.1,146.2667,16.01,94,0,3.7,AU,1683839292
162,lebyazh'ye,55.2689,66.4947,5.73,67,0,3.29,RU,1683839336
163,nha trang,12.25,109.1833,28.0,90,100,1.66,VN,1683839336
164,kalmunai,7.4167,81.8167,27.12,85,100,1.92,LK,1683839336
165,walvis bay,-22.9575,14.5053,15.05,84,100,3.66,NA,1683839336
166,port blair,11.6667,92.75,28.49,78,100,9.93,IN,1683839336
167,sumenep,-7.0167,113.8667,26.97,88,89,4.99,ID,1683839341
168,kamloops,50.6665,-120.3192,23.19,38,100,1.79,CA,1683839318
169,pimentel,-6.8367,-79.9342,29.16,61,20,5.66,PE,1683839342
170,yunfu,22.9306,112.0373,20.85,98,100,1.19,CN,1683839342
171,weno,7.4515,151.8468,28.57,77,76,2.6,FM,1683839342
172,sarandi,-23.4436,-51.8739,23.75,46,0,1.03,BR,1683839044
173,kitahama,35.1667,135.9167,11.67,76,6,0.55,JP,1683839214
174,janakpur,26.7183,85.9065,26.43,10,0,2.61,NP,1683839343
175,nova sintra,14.8667,-24.7167,20.18,80,1,8.78,CV,1683839343
176,newman,37.3138,-121.0208,26.19,46,82,3.13,US,1683839343
177,monrovia,6.3005,-10.7969,27.59,84,95,2.02,LR,1683839344
178,saint-philippe,-21.3585,55.7679,22.77,83,100,5.68,RE,1683839344
179,bhamo,24.2667,97.2333,23.12,56,56,0.79,MM,1683839297
180,papatowai,-46.5619,169.4708,10.43,89,100,5.38,NZ,1683839344
181,harrison,30.4091,-89.0436,27.01,89,100,6.17,US,1683839195
182,saint-joseph,-21.3667,55.6167,22.21,81,98,5.06,RE,1683839345
183,udachny,66.4167,112.4,1.36,69,100,5.74,RU,1683839345
184,wailua homesteads,22.0669,-159.378,26.24,72,75,5.14,US,1683839345
185,anadyr,64.75,177.4833,4.28,60,0,2.0,RU,1683839345
186,guarapari,-20.6667,-40.4975,23.08,84,88,3.24,BR,1683839346
187,roswell,34.0232,-84.3616,27.22,63,75,6.69,US,1683839246
188,kataba,13.9833,44.3833,19.09,71,60,0.39,YE,1683839347
189,gorontalo,0.5412,123.0595,24.58,93,94,0.93,ID,1683839348
190,carnarvon,-24.8667,113.6333,21.61,55,0,4.1,AU,1683839211
